,CELEX number,Category
104,31984D0455,search-results-emailed.csv
105,31984D0456,search-results-emailed.csv
106,31984D0457,search-results-emailed.csv
107,31984D0510,search-results-emailed.csv
108,31984D0511,search-results-emailed.csv
109,31984R1890,"regulation.csv, search-results-emailed.csv"
110,31984Y0620(02),"resolution.csv, search-results-emailed.csv"
111,31985Y0122(01),"resolution.csv, search-results-emailed.csv"
112,31985Y0326(01),"resolution.csv, search-results-emailed.csv"
113,31986Y0924(01),"resolution.csv, search-results-emailed.csv"
114,31986Y0925(01),"resolution.csv, search-results-emailed.csv"
115,31986Y1014(01),"resolution.csv, search-results-emailed.csv"
116,31986Y1209(01),"resolution.csv, search-results-emailed.csv"
117,31988H0611,"search-results-emailed.csv, recommendation.csv"
118,31988Y0727(01),"resolution.csv, search-results-emailed.csv"
119,31988Y1027(01),"resolution.csv, search-results-emailed.csv"
120,31989A0082,"opinion.csv, search-results-emailed.csv"
121,31989A0354,"opinion.csv, search-results-emailed.csv"
122,31989A0476,"opinion.csv, search-results-emailed.csv"
123,31989D0340,"search-results-emailed.csv, decision.csv"
124,31990D0413,search-results-emailed.csv
125,31990L0653,"directive.csv, search-results-emailed.csv"
126,31991H0141,"search-results-emailed.csv, recommendation.csv"
127,31992A0236,"opinion.csv, search-results-emailed.csv"
128,31992A0254,"opinion.csv, search-results-emailed.csv"
129,31992A0537,"opinion.csv, search-results-emailed.csv"
130,31992D0194,search-results-emailed.csv
131,31992D0275,search-results-emailed.csv
132,31992Y0519(01),"resolution.csv, search-results-emailed.csv"
133,31992Y0708(02),"resolution.csv, search-results-emailed.csv"
134,31993D0066,search-results-emailed.csv
135,31993D0428,search-results-emailed.csv
136,31993R1493,"regulation.csv, search-results-emailed.csv"
137,31993Y0120(01),"resolution.csv, search-results-emailed.csv"
138,31994A0174,"opinion.csv, search-results-emailed.csv"
139,31994A0747,"opinion.csv, search-results-emailed.csv"
140,31994A0833,"opinion.csv, search-results-emailed.csv"
141,31994D0285,search-results-emailed.csv
142,31994D0573,search-results-emailed.csv
143,31994D0574,search-results-emailed.csv
144,31994D0955,search-results-emailed.csv
145,31994D0995,search-results-emailed.csv
146,31994D1042,search-results-emailed.csv
147,31994H0956,"search-results-emailed.csv, recommendation.csv"
148,31994L0022,"directive.csv, search-results-emailed.csv"
149,31994L0063,"directive.csv, search-results-emailed.csv"
150,31995A0172,"opinion.csv, search-results-emailed.csv"
151,31995R2964,"regulation.csv, search-results-emailed.csv"
152,31995Y0811(01),"resolution.csv, search-results-emailed.csv"
153,31995Y1207(03),"resolution.csv, search-results-emailed.csv"
154,31996A0171,"opinion.csv, search-results-emailed.csv"
155,31996D0282,"search-results-emailed.csv, decision.csv"
156,31996D0458,search-results-emailed.csv
